source,region,reported_total,status
superjob.ru,Республика Северная Осетия-Алания,104487.0,ok
superjob.ru,Смоленская область,1.0,ok
superjob.ru,Санкт-Петербург,4317.0,ok
superjob.ru,Ставропольский край,0.0,ok
superjob.ru,Свердловская область,1.0,ok
superjob.ru,Республика Татарстан,0.0,ok
superjob.ru,Тамбовская область,3.0,ok
superjob.ru,Томская область,0.0,ok
superjob.ru,Тульская область,2.0,ok
superjob.ru,Тверская область,2.0,ok
superjob.ru,Республика Тыва,104487.0,ok
superjob.ru,Тюменская область,4.0,ok
superjob.ru,Удмуртская Республика,0.0,ok
superjob.ru,Ульяновская область,0.0,ok
superjob.ru,Волгоградская область,6.0,ok
superjob.ru,Владимирская область,1.0,ok
superjob.ru,Вологодская область,5.0,ok
superjob.ru,Воронежская область,0.0,ok
superjob.ru,Ямало-Ненецкий автономный округ,1.0,ok
superjob.ru,Ярославская область,2.0,ok
superjob.ru,Еврейская автономная область,5.0,ok
superjob.ru,Забайкальский край,0.0,ok
superjob.ru,Севастополь,99.0,ok
