Код_ISO_субъекта,Субъект_РФ,Место_в_регионе,Профессиональная_группа,Сложность_поиска_работы_в_группе_1_10,Индекс_при_других_настройках_min,Индекс_при_других_настройках_max,Лучшее_место_при_других_настройках,Худшее_место_при_других_настройках,Потребность_в_общем_числе_рабочих_мест_pct,Требуется_работников_человек,Списочная_численность_работников_человек,Требуется_на_10_тыс_рабочей_силы,Эквивалент_вакансий_с_учетом_оплаты,Оценочная_зарплата_группы_2025_руб,Оценочный_зарплатный_запас_группы_2025_руб,Средняя_зарплата_группы_по_РФ_2025_руб,Привлекательность_зарплаты_1_10,Вес_качества_оплаты_0_1,Медианная_зарплата_региона_2025_руб,Прожиточный_минимум_трудоспособных_2025_руб,Лог_отношение_доли_занятых_к_доле_вакансий,Kappa_метод_моментов,Оценка_межрегиональной_дисперсии,Робастный_z_доли_вакансий,Статус_наблюдения,Структурный_ноль_локального_рынка,Размер_группы_к_медианной_группе_региона,Сложность_трудоустройства_в_регионе_1_10,Скорректированная_доля_вакансий_pct,Доля_вакансий_с_учетом_оплаты_pct,Вес_региональных_данных_pct,Доля_группы_среди_занятых_pct,Доля_группы_среди_вакансий_pct
RU-AL,Республика Алтай,6,"Обслуживание, торговля и охрана",3.5,3.29,3.69,5,7,13.28,493.4,3222.53,52.7,302.17633850934874,33921.039442677946,15559.039442677946,59516.0,2.04,0.6124368433509297,55387.0,18362.0,-0.4394754972881317,111.62161988428772,0.0006390395513437586,1.94,Устойчивая база,False,1.325238725808707,7.12,13.12,8.04,97.1,11.11,17.38
RU-AL,Республика Алтай,7,Офисные и учётные служащие,3.45,3.2,3.75,5,7,12.84,176.71,1199.68,18.88,117.97395918871362,36977.1019047325,18615.101904732503,64878.0,2.58,0.6676133732596549,55387.0,18362.0,-0.377696086043031,101.86360214376505,0.0006524156213050596,2.37,Устойчивая база,False,0.49335844649334204,7.12,12.45,8.31,93.1,4.14,6.23
RU-AL,Республика Алтай,8,"Операторы машин, сборщики и водители",2.93,2.56,3.32,8,8,11.29,272.19,2139.67,29.07,272.19,55809.90159396577,37447.90159396577,97921.0,5.67,1.0,55387.0,18362.0,-0.2557054017845003,119.67320227989055,0.0006663313462581509,1.07,Устойчивая база,False,0.8799215350830298,7.12,11.17,11.17,95.3,7.38,9.59
RU-AL,Республика Алтай,9,"Промышленность, строительство и транспорт",1.97,1.65,2.28,9,9,21.71,276.38,996.84,29.52,276.38,55923.32129369514,37561.32129369514,98120.0,5.69,1.0,55387.0,18362.0,-0.9703420627913496,52.95679822120663,0.0017222836868633143,2.89,Устойчивая база,False,0.40994217941653033,7.12,21.26,21.26,96.0,3.44,9.74
RU-ALT,Алтайский край,1,Руководители,9.15,9.1,9.21,1,1,2.49,605.83,23729.99,5.32,605.83,100622.71293180625,83420.71293180625,177990.0,8.96,1.0,54938.0,17202.0,0.6944720521819021,146.16402115495765,0.0002852555978408675,-1.08,Устойчивая база,False,0.6498287113231263,8.05,2.5,2.5,99.4,7.55,3.76
RU-ALT,Алтайский край,2,Неквалифицированные рабочие,8.84,8.67,9.02,2,2,3.65,1611.3,42554.39,14.16,863.3095329237798,29434.927772461127,12232.927772461127,52067.0,1.57,0.5357844801860484,54938.0,17202.0,0.30047832627134535,70.670421472643,0.0011936050185097405,-1.43,Устойчивая база,False,1.1653213682282095,8.05,3.66,1.96,99.8,13.53,10.01
RU-ALT,Алтайский край,3,Сельское и лесное хозяйство,8.56,8.43,8.68,3,3,3.7,186.67,4861.08,1.64,133.2116797867852,39204.92454131036,22002.924541310364,69349.0,3.32,0.7136212556210704,54938.0,17202.0,0.28633972093201243,8.672962346589573,0.01170183158124693,-1.6,Устойчивая база,False,0.13311718007629258,8.05,3.72,2.65,99.8,1.55,1.16
RU-ALT,Алтайский край,4,Специалисты высшей квалификации,7.8,7.78,7.82,4,4,3.73,3082.83,79476.03,27.09,3082.83,58227.643050453284,41025.643050453284,102998.0,6.26,1.0,54938.0,17202.0,0.2771081165326247,144.61887250545854,0.00038278707116992195,-1.35,Устойчивая база,False,2.176393928357244,8.05,3.73,3.73,99.8,25.27,19.16
RU-ALT,Алтайский край,5,"Обслуживание, торговля и охрана",6.95,6.73,7.17,5,5,5.68,1944.73,32313.45,17.09,1191.0243023698536,33646.05530001338,16444.05530001338,59516.0,2.18,0.6124368433509297,54938.0,17202.0,-0.16175643520142607,111.62161988428772,0.0006390395513437586,-0.17,Устойчивая база,False,0.8848805908432441,8.05,5.69,3.48,99.7,10.28,12.08
RU-ALT,Алтайский край,6,Специалисты средней квалификации,5.64,5.62,5.66,6,7,5.73,2221.13,36517.3,19.52,1959.2680091377767,48461.038249004414,31259.038249004414,85722.0,4.76,0.8821041583058068,54938.0,17202.0,-0.17202383140325148,103.46780906003967,0.000599737808997421,-0.19,Устойчивая база,False,1.0,8.05,5.73,5.06,99.7,11.61,13.8
