region,shapeISO,reported_total,sample_vacancies,salary_observations,median_salary_offer_rur,salary_q25_rur,salary_q75_rur,sources_available,snapshot_at
Омская область,RU-OMS,12138.0,34.0,30.0,55000.0,40000.0,77500.0,hh.ru,2026-09-13T11:44:57+03:00
Оренбургская область,RU-ORE,6890.0,34.0,32.0,60000.0,36250.0,85000.0,hh.ru,2026-09-13T11:44:57+03:00
Орловская область,RU-ORL,3194.0,34.0,30.0,53450.0,35000.0,70000.0,hh.ru,2026-09-13T11:44:57+03:00
Пермский край,RU-PER,15197.0,34.0,31.0,75000.0,42500.0,84775.0,hh.ru,2026-09-13T11:44:57+03:00
Пензенская область,RU-PNZ,5452.0,34.0,26.0,53750.0,30000.0,70000.0,hh.ru,2026-09-13T11:44:57+03:00
Приморский край,RU-PRI,10893.0,34.0,28.0,80000.0,41500.0,121250.0,hh.ru,2026-09-13T11:44:57+03:00
Псковская область,RU-PSK,2751.0,34.0,32.0,68718.0,35000.0,95000.0,hh.ru,2026-09-13T11:44:57+03:00
Ростовская область,RU-ROS,19484.0,34.0,28.0,65000.0,38125.0,92500.0,hh.ru,2026-09-13T11:44:57+03:00
Рязанская область,RU-RYA,7823.0,34.0,32.0,62950.0,48750.0,100000.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Саха (Якутия),RU-SA,3753.0,34.0,28.0,102500.0,53500.0,155000.0,hh.ru,2026-09-13T11:44:57+03:00
Сахалинская область,RU-SAK,2561.0,34.0,27.0,80000.0,45000.0,101250.0,hh.ru,2026-09-13T11:44:57+03:00
Самарская область,RU-SAM,19887.0,34.0,34.0,61975.0,48125.0,77250.0,hh.ru,2026-09-13T11:44:57+03:00
Саратовская область,RU-SAR,10442.0,34.0,30.0,60000.0,45000.0,71875.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Северная Осетия-Алания,RU-SE,958.0,34.0,30.0,50000.0,18750.0,87500.0,hh.ru,2026-09-13T11:44:57+03:00
Смоленская область,RU-SMO,4346.0,34.0,30.0,75000.0,51250.0,95000.0,hh.ru,2026-09-13T11:44:57+03:00
Санкт-Петербург,RU-SPE,68409.0,34.0,34.0,80000.0,46250.0,100000.0,hh.ru,2026-09-13T11:44:57+03:00
Ставропольский край,RU-STA,7790.0,34.0,33.0,70000.0,55000.0,86000.0,hh.ru,2026-09-13T11:44:57+03:00
Свердловская область,RU-SVE,34906.0,34.0,30.0,76250.0,47000.0,100000.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Татарстан,RU-TA,28290.0,34.0,34.0,70500.0,50250.0,88750.0,hh.ru,2026-09-13T11:44:57+03:00
Тамбовская область,RU-TAM,4214.0,34.0,28.0,50250.0,28750.0,65625.0,hh.ru,2026-09-13T11:44:57+03:00
Томская область,RU-TOM,6194.0,34.0,30.0,51250.0,25000.0,68750.0,hh.ru,2026-09-13T11:44:57+03:00
Тульская область,RU-TUL,12513.0,34.0,31.0,80000.0,57888.5,100000.0,hh.ru,2026-09-13T11:44:57+03:00
Тверская область,RU-TVE,9204.0,34.0,28.0,66250.0,48750.0,80000.0,hh.ru,2026-09-13T11:44:57+03:00
Республика Тыва,RU-TY,386.0,38.0,32.0,70000.0,48675.0,120000.0,hh.ru,2026-09-13T11:44:57+03:00
Тюменская область,RU-TYU,12093.0,34.0,30.0,60000.0,43250.0,70000.0,hh.ru,2026-09-13T11:44:57+03:00
Удмуртская Республика,RU-UD,9552.0,34.0,32.0,67500.0,51875.0,95000.0,hh.ru,2026-09-13T11:44:57+03:00
Ульяновская область,RU-ULY,6137.0,34.0,31.0,50000.0,30000.0,70000.0,hh.ru,2026-09-13T11:44:57+03:00
Волгоградская область,RU-VGG,10582.0,34.0,30.0,59000.0,43125.0,77500.0,hh.ru,2026-09-13T11:44:57+03:00
Владимирская область,RU-VLA,9631.0,34.0,28.0,71750.0,47875.0,115000.0,hh.ru,2026-09-13T11:44:57+03:00
Вологодская область,RU-VLG,5849.0,34.0,31.0,50000.0,26175.0,73750.0,hh.ru,2026-09-13T11:44:57+03:00
Воронежская область,RU-VOR,13875.0,34.0,33.0,77500.0,51500.0,95000.0,hh.ru,2026-09-13T11:44:57+03:00
Ямало-Ненецкий автономный округ,RU-YAN,3298.0,34.0,25.0,125000.0,75000.0,154000.0,hh.ru,2026-09-13T11:44:57+03:00
Ярославская область,RU-YAR,8413.0,34.0,31.0,50850.0,32500.0,67500.0,hh.ru,2026-09-13T11:44:57+03:00
Еврейская автономная область,RU-YEV,535.0,34.0,33.0,72000.0,37500.0,110000.0,hh.ru,2026-09-13T11:44:57+03:00
Забайкальский край,RU-ZAB,5286.0,34.0,31.0,90000.0,40000.0,226000.0,hh.ru,2026-09-13T11:44:57+03:00
Севастополь,RU-SEV,,,,,,,hh.ru,2026-09-13T11:44:57+03:00
